Quarter,Real_GDP_Growth_pct,Hist_Avg_2015_2019,Period,Agriculture_ppt,Manufacturing_Industry_ppt,Construction_ppt,Services_ppt,Total_GDP_Growth_pct
2022-Q1,5.42,7.0,9M 2024,0.4,2.37,0.45,3.15,6.86
2022-Q2,8.56,7.0,9M 2025,0.39,2.51,0.61,3.8,7.84
2022-Q3,14.38,7.0,9M 2026,0.38,3.12,0.74,3.63,8.38
2022-Q4,6.26,7.0,,,,,,
2023-Q1,3.45,7.0,,,,,,
2023-Q2,4.15,7.0,,,,,,
2023-Q3,5.23,7.0,,,,,,
2023-Q4,6.76,7.0,,,,,,
2024-Q1,5.91,7.0,,,,,,
2024-Q2,7.19,7.0,,,,,,
2024-Q3,7.39,7.0,,,,,,
2024-Q4,7.51,7.0,,,,,,
2025-Q1,7.05,7.0,,,,,,
2025-Q2,8.16,7.0,,,,,,
2025-Q3,8.25,7.0,,,,,,
2025-Q4,8.46,7.0,,,,,,
2026-Q1,7.94,7.0,,,,,,
2026-Q2,8.39,7.0,,,,,,
2026-Q3,8.48,7.0,,,,,,
