Quarter,Manufacturing_pct,Construction_pct,Real_Estate_pct,Wholesale_Retail_pct,Transport_Storage_pct,Accommodation_Food_pct
2022-Q1,8.27,4.69,2.66,4.62,7.76,-3.22
2022-Q2,11.94,6.74,7.11,7.18,9.63,25.12
2022-Q3,12.83,10.15,12.63,13.91,29.13,171.13
2022-Q4,3.97,6.84,5.93,8.44,10.09,37.52
2023-Q1,-0.85,6.07,-1.2,8.16,8.03,24.02
2023-Q2,0.67,7.18,-1.22,7.91,11.16,10.54
2023-Q3,5.04,6.89,-0.48,8.52,11.03,10.62
2023-Q4,8.33,7.92,3.15,8.94,8.96,8.77
2024-Q1,7.16,7.21,1.76,7.32,10.46,8.72
2024-Q2,9.69,7.42,2.42,7.74,12.73,11.12
2024-Q3,10.86,7.28,3.91,8.21,9.88,9.01
2024-Q4,10.23,7.39,4.78,8.54,10.02,10.28
2025-Q1,9.31,8.87,4.37,8.92,10.35,10.22
2025-Q2,10.22,10.24,4.41,9.45,10.97,9.67
2025-Q3,9.61,10.41,5.26,9.18,11.81,10.16
2025-Q4,10.56,10.35,4.48,9.62,10.83,10.01
2026-Q1,9.86,8.51,4.64,9.72,9.03,7.77
2026-Q2,10.56,10.28,4.69,9.62,11.19,8.36
2026-Q3,10.42,10.85,4.82,9.78,10.5,8.9
